,listing,price,brand,size
65,Louis Vuitton Damier Azur Double Zip Pochette,999.0,Louis Vuitton,OS
66,"Brown Single Strap to Backpack Convertable with 3 Pockets
          
      NWT",20.0,totes,OS
67,NWOT MICHAEL KORS Logo Quarter Zip  Wallet Purse Orig $228,99.0,Michael Kors,See desc
68,"Badgley Mischka Quilted Gray Coin Purse Vegan Wallet
          
      NWT",17.0,Badgley Mischka,OS
69,Handmade Crochet Floral Shoulder Bag Boho Neutral Knit statement Resort Purse,200.0,Handmade,OS
70,Louis Vuitton x Takashi Murakami shopping bag,65.0,Louis Vuitton,OS
71,"Lululemon City Essentials Shoulder Bag
          
      NWT",78.0,lululemon athletica,OS
72,Alviero Martini World Map Long wallet,195.0,Alviero Martini,OS
73,Coach F1482 Leopard Print Tote Canvas Bag,110.0,Coach,No Size Listed
74,Designer Tote Bag with Red Accents Wallet NOT included,599.0,Gucci,OS
75,Furla Piper Dome Satchel Red Leather Top Handle Crossbody Made in Italy,289.0,Furla,OS
76,Michael Kors Hayes Pale Gold Large Leather Satchel,79.0,Michael Kors,OS
77,Coach Beige Signature Wristlet | Very Good Condition,24.0,Coach,No Size Listed
78,Travelon Embroidered Zippered Ladies RFID Wallet,11.0,Travelon,OS
79,Gucci Jackie Bamboo,625.0,Gucci,OS
80,Hunter Nylon Boot Dust Bag,20.0,Hunter,OS
81,VARU Stella Pleat Purse Crossbody Bag Adjustable Strap in Charcoal Strands,30.0,VARU,OS
82,"QUILTED CROSSBODY THICK METAL RING HANDLE AND STRAP NWT FREE W PURCHASE OVER 20
          
      NWT",28.0,No Brand Listed,No Size Listed
83,Vera Bradley Florence Nightingale Crossbody Purse,30.0,Vera Bradley,OS
84,GUCCI GG canvas bifold long wallet Purse Authentic Made in Italy 181593 9416,79.0,Gucci,OS
85,💎✨Authentic✨💎CHANEL Tote Bag Black,1250.0,CHANEL,OS
86,Nautica Burnt Orange Crossbody Hobo Bag Hidden Treasure Navy Strap NWT,38.0,Nautica,OS
87,Pinzon Handcrafted Purple Striped Women's Bag,10.0,Pinzon,OS
88,VTG Y2K Coach 44718 Brown Mini C Signature Soho Buckle Swingpack Crossbody Purse,80.0,Coach,OS
89,🍓LV Pouchette Accesoires SL0031,879.0,Louis Vuitton,OS
90,Stuart Weitzman Evening Bag in Metallic Gray,29.0,Stuart Weitzman,OS
91,Prada Brown Shoulder Bag,2500.0,Prada,OS
92,"Killstar ✦ Thrill Master Wallet ✦ Horror Graphic Zip Gothic Dario Argento NWT
          
      NWT",79.0,Killstar,OS
93,LIZ CLAIBORNE Black Shoulder/Hobo Handbag,40.0,Liz Claiborne,OS
94,Coach Monogram Wallet Check Holder,36.0,Coach,OS
95,Crazy Horse Brown Leather Crossbody Bag,20.0,Crazy Horse,OS
96,The Sak Natural Red Crochet Woven Bucket Bag Purse Fabric Hobo Shoulder Bag,32.0,The Sak,OS
97,Vera Bradley Baroque Shoulder Bag Purse Tote,26.0,Vera Bradley,OS
98,Komal's Passion Leather Bag,35.0,No Brand Listed,No Size Listed
99,Kate Spade Black Pearl-Studded Dorina Women's Wallet Gold,28.0,kate spade,OS
100,VERA BARDLEY Kiss Me Twice Sittin in a Tree Double Lipstick Mirror Case Retired,16.0,Vera Bradley,OS
101,Vera Bradley black quilted purse,38.0,Vera Bradley,OS
102,Prada Large Saffiano Leather Wallet Burgundy Like New Authentic,650.0,Prada,OS
103,"Unbranded Hanging Garment Bag Animal Print Leopard Elephant W23"" X L46"" Travel",25.0,No Brand Listed,No Size Listed
104,FOSSIL LARGE YELLOW SMOOTH LEATHER WOMENS WALLET,25.0,Fossil,OS
105,"🔥Lululemon All Night Festival Bag 5L - Black Gold Hardware Travel Crossbody
          
      NWT",58.0,lululemon athletica,OS
106,Gucci Elegant Black Handbag with Bamboo Handle,365.0,Gucci,OS
107,Satchel w/ Shoulder Strap by “Call it Spring” FUN!,35.0,Call It Spring,OS
108,.Red Quilted Backpack with Gold Accents,35.0,No Brand Listed,No Size Listed
109,VTG‎ Handmade Woven Purse Handbag Wood Handles Festival Boho Velvet Stripe y2k,32.0,Unbranded,OS
110,"Tahari Black Crossbody Duo Clutch Purse 9x7 w/ Makeup Bag NWT
          
      NWT",15.0,Tahari,OS
111,"Chiara Ferretti leather bag
          
      NWT",129.0,Chiara Ferretti,OS
112,Stylish Pink and Blue Geometric Bag,18.0,No Brand Listed,No Size Listed
113,"NWT Bed Stu Leather Eastend Fringe Crossbody Bag Tan Dip Dyed Retail $165
          
      NWT",154.0,Bed Stu,OS
114,NWOT Lilly Pulitzer GWP Quilted Pouch in Banana Split,35.0,Lilly Pulitzer,OS
115,Ramla Boho Mosaic Chain Bag I Beaded Stone Crossbody |Festival Statement Purse,125.0,Ramla,OS
116,MCM | Transparent/black | PVC And Leather | Glitch Logo  |Shopper Tote | NEW,525.0,MCM,OS
117,Calvin Klein Women's Woven Striped Multicolor Straw Tote Shoulder Bag Gold Chain,45.0,Calvin Klein,OS
118,"Handcrafted Brown Woven Handbag with Wooden Handle
          
      NWT",150.0,munay,OS
119,Vintage 100% Genuine Leather Woven Fanny Pack,59.0,Vintage,OS
120,"Vintage Needlepoint Handmade Clutch Purse Floral 70’s Laptop Bag Brown 9.5x14""",65.0,Unbranded,No Size Listed
121,"MICHAEL KORS 
Jet Set Travel Medium Dome Crossbody Bag XCROSS XBODY
Powder Blush
          
      Boutique",98.0,Michael Kors,Medium
122,Cartier Maroon Leather Must Line Waist Bag,115.0,Cartier,OS
123,"MICHAEL KORS JET SET TRAVEL LG TRIFOLD BLACK
          
      NWT",86.0,Michael Kors,Large
124,Juicy couture y2k green leather mini crossbody bag,120.0,Juicy Couture,OS
125,"Kelly and Katie Snakeskin Blue Multicolor Faux Leather Cross Body Bag Wallet NWT
          
      NWT",25.0,Kelly,OS
126,Small Hobo Bag Vegan Leather Crossbody Shoulder Clutch Tote Y2K Chic,25.0,No Brand Listed,No Size Listed
127,Marc Jacobs Snapshot Bag,160.0,Marc Jacobs,OS
128,Coach Stripped Red and White Wristlet NWOT,52.0,Coach,OS
129,"Kurt Geiger Small Chelsea Hobo Bag.
          
      NWT",290.0,Kurt Geiger,OS
130,Indian bag wallet clutch ethnic beautiful,25.0,No Brand Listed,No Size Listed
131,CHANEL Orange Wallet,1630.0,CHANEL,OS
132,💎✨HOT BUY✨💎AUTHENTIC LV Ellipse MM WITH STRAP,1350.0,Louis Vuitton,OS
133,"Patagonia Reusable Storage Tie Bag Fish Pattern 13.5x10.5"" Stretch Gift Travel",12.0,Patagonia,OS
134,Modus Rio Leather and Wool Blend Crossbody Handbag,10.0,Modus Rio,OS
135,"IL MAKIAGE Black Canvas Tote Bag Modern Design NWT
          
      NWT",19.0,IL MAKIAGE,OS
136,"Coach Rip n Repair Shadow Crossbody 36976 Parchment Leather, Black Copper in EUC",225.0,Coach,OS
137,"Pomelo Best Crossbody Cell Phone Bag for Women with RFID Blocking
          
      NWT",49.0,No Brand Listed,No Size Listed
138,"SUKRITI Hand Painted Crossbody Handbag with Silver Chain Handle NWT
          
      NWT",35.0,SUKRITI,OS
139,Kate Spade New York Walter Place Nikki Crossbody Bag Pink White,42.0,kate spade,OS
140,NWOT Fabletics Large Quilted Tote Gym Bag Metallic Gunmetal,40.0,Fabletics,OS
141,"LV KEEP IT GYPSY TOOLED  WRISTLET HOOK WITH STRAP CLASP -‎ NWT
          
      NWT",77.0,Keep It Gypsy,OS
142,TORY BURCH Vintage Ella Nylon Patent Trim XL Plum Purple,175.0,Tory Burch,OS
143,"Michael Kors Jet Set Large Signature Logo TriFold Wallet
          
      NWT",88.0,Michael Kors,No Size Listed
144,Coach Wristlet Bag Purse Floral Cross Grain Leather Pink Clutch Pouch Wallet,50.0,Coach,OS
145,Coach Stylish Metallic Crossbody Bag and wristlet with dust bag,125.0,Coach,OS
146,Vintage Coach Y2K Lurex Signature Optic Art Clutch Bag Purse in Metallic Gold,108.0,Coach,OS
147,Jessica Simpson Wallet,17.0,Jessica Simpson,OS
148,Yesss please ❤️💚❤️💚,899.0,No Brand Listed,No Size Listed
149,G.I.L.I bag,67.0,G,OS
150,Kate Spade Chester Street Wallet Crossbody Clutch,40.0,kate spade,No Size Listed
151,Loeffler Randall Maria Red Beaded Heart-Shaped Handbag Fair Condition,115.0,Loeffler Randall,OS
152,Kate Spade Sidney Kennywood Polka Dot Large Diaper  Bag Black and White,75.0,kate spade,OS
153,Marc Fisher Cream and Black Handbag Shoulder Bag Exotic Animal Print,11.0,Marc Fisher,OS
154,The Sak Laurel color-block leather crossbody bag,19.0,The Sak,OS
155,Tommy Hilfiger Y2K Brown Vegan Leather Crocodile Small Chained Handbag,19.0,Tommy Hilfiger,OS
156,"Montana West Women 040 Beige Faux Leather Quilted Chain Shoulder Strap Purse
          
      NWT",57.0,No Brand Listed,No Size Listed
157,Vera Bradley 100% Silk Collection Tropical Floral Shoulder Bag Purse Aqua Coral,32.0,Vera Bradley,OS
158,Kenneth Cole Blue leather gold ring shoulder bag vintage,90.0,Kenneth Cole,OS
159,Louis Vuitton New Wave Chain Pochette Black Leather | Multicolor Strap | France,1020.0,Louis Vuitton,OS
160,"Rivian Cream Tote Bag
          
      NWT",10.0,Rivian,OS
161,"COACH Dakotah 14 Mini Flap Crossbody Bag Studded Pebbled Leather Chalk ""Marks""",95.0,Coach,OS
162,Dooney & Bourke Vintage Y2k Baby Blue Rainbow DB Monogram Small Crossbody Bag,100.0,Dooney,OS
163,"Rare NWT Lululemon Everywhere Crossbody Bag 2L | L Monogram Metallic/black Gold
          
      NWT",94.0,Lululemon,OS
164,Coach Jaime Camera Bag with Sketch,175.0,Coach,New without tags
165,"Coach Jamie Wristlet In Signature Canvas With Varsity Motif
IM/Brown/Watermelon
          
      Boutique",106.0,Coach,Medium
166,Coach Jules Hobo bag leather  in black,258.0,Coach,OS
167,Kate Spade Vibrant Orange and Cream Tote,100.0,kate spade,OS
168,Louis Vuitton Crossbody Monogram Chantilly PM Vintage Pre 1980,1450.0,Louis Vuitton,No Size Listed
169,NEW Lilly Pulitzer Tote Bag All-weather Woven Recycled Plastic #0556,48.0,Lilly Pulitzer,OS
170,💎✨BEAUTIFUL✨💎AUTHENTIC CHANEL Tote Bag Black,1255.0,CHANEL,OS
171,Coach Floral Flap Card Case,89.0,Coach,OS
172,50’s Vintage Cream Irredentist Beaded Silk Clutch,32.0,Vintage,OS
173,Anne Klein Black pebbled leather y2k wristlet pouch bag,15.0,Anne Klein,OS
174,gold color Koltov shoulder bag,12.0,Koltov,OS
175,Calvin Klein black logo bag,65.0,Calvin Klein,OS
176,New Kate Spade Ladybug Cylinder Crossbody,349.0,kate spade,OS
177,Salvatore Ferragamo Gancini Pink Leather Wallet Bifold Compact,100.0,Salvatore Ferragamo,OS
178,Miu Miu Woven Straw & Leather Tote,350.0,Miu Miu,OS
179,Dooney & Bourke Black and Brown nylon Crossbody Bag,40.0,Dooney,OS
180,"J. Crew Tan and Cream Shoulder Bag
          
      NWT",99.0,J,OS
181,CELINE Macadam Canvas Hand Bag Pvc Leather Brown Gold,612.0,Celine,OS
182,Old Navy lemon wristlet,12.0,Old Navy,OS
183,Reformation Tote Bag‎ Black White Canvas Reusable Shopping Grocery Lightweight,17.0,Reformation,OS
184,"Colorful Crochet Granny Square Shoulder Bag
          
      NWT",50.0,Knana Knots,OS
185,"Ramla Marrakech Purse
          
      NWT",200.0,Ramla,OS
186,Vintage y2k sinful affliction pink black  drawstring bag,38.0,No Brand Listed,No Size Listed
187,KATE SPADE Leather Black Crossbody Bag with Chain,102.0,kate spade,OS
188,Prada Pink Fiocco Bow Saffiano Lux Long Wallet,425.0,Prada,OS
189,Stylish Navy Blue Woven Shoulder Bag,35.0,Guajiro,OS
190,Coach vintage brown tabac Tan companion basic bag,125.0,Coach,OS
191,Talbots Black Quilted Leather Crossbody Bag Gold Chain Strap Bow Patent Finish,28.0,Talbots,OS
192,"Michael Kors Continental wallet with 5 pockets, 7 card holders and change pocket",42.0,Michael Kors,OS
193,Michael Kors Jet Set Saffiano Leather Bisque Multi Function Laptop Tote,67.0,Michael Kors,OS
194,Patricia Nash Large Braided Stitch Marcellina Leather Tote Bag,65.0,Patricia Nash,OS
195,Michael Kors Dark Blue Wallet with Gold Accent,35.0,Michael Kors,OS
196,Gucci Vintage Green Python Clutch and Wallet with Dustbag,950.0,Gucci,OS
197,Stone Mountain Black Shoulder Bag Adjustable Strap Gold Hardware Small,65.0,Stone Mountain,OS
198,Vera Bradley Zebra Flock Crossbody Black,36.0,Vera Bradley,OS
199,PRADA Sailor Bellhop Bag Pin Brooch,150.0,Prada,OS
200,Olive Green Canvas Crossbody Bag,16.0,No Brand Listed,No Size Listed
201,"MICHAEL KORS Carson Lg Snap Patent Crocodile Embossed Snap Bifold Wallet
Black
N
          
      NWT",88.0,Michael Kors,OS
202,BOTKIER SOHO quilted crossbody purse organizer,17.0,No Brand Listed,No Size Listed
203,"Munskape Floral Canvas Tote Bag - Cream and Multicolor
          
      NWT",25.0,The Unbranded Brand,OS
204,"Stitches & Paint Qulited Crossbody‎ Purse
          
      NWT",25.0,stitches,OS
205,💎✨AUTHENTIC✨💎Gucci Shoulder Bag,765.0,Gucci,OS
206,Cream And White Floral Embossed Crossbody EUC,20.0,No Brand Listed,No Size Listed
207,"Raven & Lily American Airlines Orange Leather Amenity Kit Socks, Mask, Earplugs",8.0,Raven,OS
